on_off,algorism,tempo,helz,length,velocity,,
1,1,125,0,1,80,,
1,1,125,0,1,80,,
1,1,125,0,1,80,,
1,1,125,0,1,80,,
1,1,125,0,1,80,,
1,1,125,F2,4,80,---,始まり
1,1,125,E2,4,80,,
1,1,125,D+2,4,80,,
1,1,125,D2,4,80,,
1,1,125,A1,2,80,,
1,1,125,B-2,2,80,,
1,1,125,F2,4,80,,
1,1,125,C2,4,80,,
1,1,125,F1,4,80,,
1,1,125,F2,4,80,,
1,1,125,F2,4,80,,
1,1,125,A1,4,80,,
1,1,125,C2,4,80,,
1,1,125,F2,4,80,,
1,1,125,A1,2,80,,
1,1,125,A1,2,80,,
1,1,125,D2,4,80,,
1,1,125,A1,4,80,,
1,1,125,F2,4,80,,
1,1,125,D2,4,80,,
1,1,125,B1,4,80,,
1,1,125,D2,4,80,,
1,1,125,G2,4,80,,
1,1,125,G1,4,80,,
1,1,125,C2,2,80,,
1,1,125,C2,4,80,,
1,1,125,E2,4,80,,
1,1,125,A1,4,80,,
1,1,125,C+2,4,80,,
1,1,125,E2,4,80,,
1,1,125,A1,4,80,,
1,1,125,D2,4,80,,
1,1,125,E2,4,80,,
1,1,125,F2,4,80,,
1,1,125,D2,4,80,,
1,1,125,B-1,4,80,,
1,1,125,D2,4,80,,
1,1,125,G2,4,80,,
1,1,125,G1,4,80,,
1,1,125,C2,2,80,,
1,1,125,C2,4,80,,
1,1,125,B-2,4,80,,
1,1,125,A2,4,80,,
1,1,125,F+2,4,80,,
1,1,125,D2,4,80,,
1,1,125,A1,4,80,,
1,1,125,G1,4,80,,
1,1,125,A1,4,80,,
1,1,125,B-1,4,80,,
1,1,125,G1,4,80,,
1,1,125,G2,4,80,,
1,1,125,C2,4,80,,
1,1,125,B-2,4,80,,
1,1,125,C2,4,80,,
1,1,125,F2,4,80,,
1,1,125,C2,4,80,,
1,1,125,F2,4,80,,
1,1,125,0,4,80,,
