on_off,algorism,tempo,helz,length,,
1,4,125,A3,8.,,
1,4,125,A3,16,,
1,4,125,A3,8,,
1,4,125,G3,8,,
1,4,125,G3,8,,
1,4,125,G3,8,,
1,4,125,F3,8,,
1,4,125,G3,8,,
1,4,125,A3,8,,
1,4,125,B-3,8,,
1,4,125,A3,8,,
1,4,125,G3,8,,
1,4,125,A3,8,,
1,4,125,B-3,8,,
1,4,125,C4,8,,
1,4,125,D4,8,,
1,4,125,F4,8,,
1,4,125,D4,8,,
1,4,125,C4,8,,
1,4,125,B-3,8,,
1,4,125,A3,8,,
1,4,125,G3,8.,,
1,4,125,G3,16,,
1,4,125,G3,8,,
1,4,125,A3,8.,,
1,4,125,A3,16,,
1,4,125,A3,8,,
1,4,125,A3,8,,
1,4,125,F3,8,,
1,4,125,A3,8,,
1,4,125,G3,4&2&4,---,前奏終わり
1,4,125,C4,8.,,メロ始まり
1,4,125,C4,16,,
1,4,125,F4,4,,
1,4,125,G4,4,,
1,4,125,A4,4,,
1,4,125,B-4,4,,
1,4,125,C5,4,,
1,4,125,F5,2,,
1,4,125,E5,8.,,
1,4,125,D5,16,,
1,4,125,D5,4.,,
1,4,125,C5,8,,
1,4,125,0,8,,
1,4,125,B4,8,,
1,4,125,B4,8,,
1,4,125,D5,8,,
1,4,125,C5,4,,
1,4,125,A4,4.,,
1,4,125,0,8,,
1,4,125,A3,8.,,
1,4,125,A3,16,,
1,4,125,A3,4,,
1,4,125,A3,4,,
1,4,125,B3,4,,
1,4,125,C+4,4,,
1,4,125,D4,2,,
1,4,125,0,8,,
1,4,125,D4,8,,
1,4,125,E4,8,,
1,4,125,F4,8,,
1,4,125,G4,2,,
1,4,125,0,8,,
1,4,125,D4,8,,
1,4,125,D4,8,,
1,4,125,F4,8,,
1,4,125,F4,4,,
1,4,125,E4,4,,
1,4,125,D4,4,,
1,4,125,C4,4,,
1,4,125,A4,2,,
1,4,125,0,8,,
1,4,125,B-4,8,,
1,4,125,A4,8,,
1,4,125,G4,8,,
1,4,125,F4,2,,
1,4,125,D4,4,,
1,4,125,F4,4,,
1,4,125,G4,2,,
1,4,125,0,8,,
1,4,125,A4,8,,
1,4,125,G4,8,,
1,4,125,F4,8,,
1,4,125,F4,2,,
1,4,125,E4,4,,
1,4,125,C4,4,,
1,4,125,C5,2,,
1,4,125,0,8,,
1,4,125,A4,8,,
1,4,125,B-4,8,,
1,4,125,C5,8,,
1,4,125,D5,2,,
1,4,125,0,8,,
1,4,125,D4,8,,
1,4,125,E4,8,,
1,4,125,F4,8,,
1,4,125,B-4,2,,
1,4,125,A4,2,,
1,4,125,F4,2,,
1,4,125,0,2,,
