on_off,algorism,tempo,helz,length,velocity,,
1,1,125,F3,8.,70,,
1,1,125,F3,16,70,,
1,1,125,F3,8,70,,
1,1,125,C3,8,70,,
1,1,125,C3,8,70,,
1,1,125,C3,8,70,,
1,1,125,A2,8,70,,
1,1,125,C3,8,70,,
1,1,125,F3,8,70,,
1,1,125,G3,8,70,,
1,1,125,F3,8,70,,
1,1,125,C3,8,70,,
1,1,125,F3,8,70,,
1,1,125,G3,8,70,,
1,1,125,A3,8,70,,
1,1,125,B-3,8,70,,
1,1,125,D4,8,70,,
1,1,125,B-3,8,70,,
1,1,125,A3,8,70,,
1,1,125,G3,8,70,,
1,1,125,F3,8,70,,
1,1,125,C3,8.,70,,
1,1,125,C3,16,70,,
1,1,125,C3,8,70,,
1,1,125,F3,8.,70,,
1,1,125,F3,16,70,,
1,1,125,F3,8,70,,
1,1,125,F3,8,70,,
1,1,125,A2,8,70,,
1,1,125,F3,8,70,,
1,1,125,C3,4&2&4,70,---,前奏終わり
1,1,125,B-3,8.,70,,メロ始まり
1,1,125,B-3,16,70,,
1,1,125,A3,4,70,,
1,1,125,C4,4,70,,
1,1,125,F4,4,70,,
1,1,125,F4,4,70,,
1,1,125,F4,4,70,,
1,1,125,F4,2,70,,
1,1,125,F4,8.,70,,
1,1,125,B-4,16,70,,
1,1,125,B-4,4.,70,,
1,1,125,B-4,8,70,,
1,1,125,0,8,70,,
1,1,125,G+4,8,70,,
1,1,125,G+4,8,70,,
1,1,125,B4,8,70,,
1,1,125,A4,4,70,,
1,1,125,F4,4.,70,,
1,1,125,0,8,70,,
1,1,125,A3,8.,70,,
1,1,125,A3,16,70,,
1,1,125,C+3,4,70,,
1,1,125,C+3,4,70,,
1,1,125,D3,4,70,,
1,1,125,E3,4,70,,
1,1,125,F3,2,70,,
1,1,125,0,8,70,,
1,1,125,F3,8,70,,
1,1,125,A3,8,70,,
1,1,125,C4,8,70,,
1,1,125,D4,2,70,,
1,1,125,0,8,70,,
1,1,125,B-3,8,70,,
1,1,125,B-3,8,70,,
1,1,125,D4,8,70,,
1,1,125,D4,4,70,,
1,1,125,C4,4,70,,
1,1,125,B-3,4,70,,
1,1,125,B-3,4,70,,
1,1,125,C+4,2,70,,
1,1,125,0,8,70,,
1,1,125,D4,8,70,,
1,1,125,C4,8,70,,
1,1,125,C4,8,70,,
1,1,125,D4,2,70,,
1,1,125,A3,4,70,,
1,1,125,A3,4,70,,
1,1,125,D4,2,70,,
1,1,125,0,8,70,,
1,1,125,B-3,8,70,,
1,1,125,B-3,8,70,,
1,1,125,B-3,8,70,,
1,1,125,B-3,2,70,,
1,1,125,B-3,4,70,,
1,1,125,C4,4,70,,
1,1,125,F+4,2,70,,
1,1,125,0,8,70,,
1,1,125,F+4,8,70,,
1,1,125,G4,8,70,,
1,1,125,A4,8,70,,
1,1,125,B-4,2,70,,
1,1,125,0,8,70,,
1,1,125,B3,8,70,,
1,1,125,C4,8,70,,
1,1,125,D4,8,70,,
1,1,125,D4,2,70,,
1,1,125,E4,2,70,,
1,1,125,A3,2,70,,
1,1,125,0,2,70,,
